Číslo;Název;Hlasy abs.;Hlasy v %;Počet kandidátů;Přepočtený základ dle počtu kandidátů;Přepočtené % platných hlasů;Počet mandátů;Rok
1;Unie svobody-Demokratická unie;59006;5.09;45;1160079.0;5.08;2;2002
2;Občanská demokratická strana;404945;34.91;45;1160079.0;34.9;18;2002
3;Liga pro město;57283;4.94;45;1160079.0;4.93;0;2002
4;Česká str.sociálně demokrat.;173378;14.95;45;1160079.0;14.94;7;2002
5;Sdružení nezávislých;129105;11.13;45;1160079.0;11.12;5;2002
6;Strana občanského porozumění;1877;0.16;14;360913.46;0.52;0;2002
7;Pravý Blok;196;0.02;1;25779.53;0.76;0;2002
8;Křesť.demokr.unie-Čs.str.lid.;139551;12.03;45;1160079.0;12.02;6;2002
9;Komunistická str.Čech a Moravy;178594;15.39;45;1160079.0;15.39;7;2002
10;Strana za životní jistoty a NK;16144;1.39;45;1160079.0;1.39;0;2002
1;Nezávislí pro lidi, pro město;38854;3.4;45;1144407.0;3.39;0;2006
2;Pravý Blok;548;0.05;2;50862.53;1.07;0;2006
3;SNK Evropští demokraté;62367;5.45;45;1144407.0;5.44;2;2006
4;Komunistická str.Čech a Moravy;149522;13.07;45;1144407.0;13.06;6;2006
5;Občanská demokratická strana;530845;46.39;45;1144407.0;46.38;23;2006
6;Zelení a otevřená společnost;85745;7.49;45;1144407.0;7.49;3;2006
7;Česká str.sociálně demokrat.;181222;15.84;45;1144407.0;15.83;7;2006
8;Křesť.demokr.unie-Čs.str.lid.;95304;8.33;45;1144407.0;8.32;4;2006
1;SPOZ a SUVERENITA;28073;2.21;45;1271119.0;2.2;0;2010
2;"""Strana soukromníků ČR""";4058;0.32;31;875659.75;0.46;0;2010
3;Dělnic.str.sociální spravedl.;1446;0.11;8;225976.71;0.63;0;2010
4;VOLBA PRO MĚSTO;44897;3.53;45;1271119.0;3.53;0;2010
5;SNK Evropští demokraté;36864;2.9;45;1271119.0;2.9;0;2010
6;TOP 09;128425;10.1;44;1242871.91;10.33;6;2010
7;Komunistická str.Čech a Moravy;144751;11.39;45;1271119.0;11.38;6;2010
8;OBČANÉ PRO BUDĚJOVICE;333958;26.27;45;1271119.0;26.27;15;2010
9;OTEVŘENÁ SPOLEČNOST A ZELENÍ;46006;3.62;45;1271119.0;3.61;0;2010
10;SVOBODNÍ - PIRÁTI;15493;1.22;37;1045142.28;1.48;0;2010
11;Křesť.demokr.unie-Čs.str.lid.;47939;3.77;45;1271119.0;3.77;0;2010
12;Volte Pr.Blok www.cibulka.net;481;0.04;1;28247.08;1.7;0;2010
13;Věci veřejné;35061;2.76;44;1242871.91;2.82;0;2010
14;Česká str.sociálně demokrat.;213433;16.79;45;1271119.0;16.79;10;2010
15;Občanská demokratická strana;189277;14.89;45;1271119.0;14.89;8;2010
16;ČESKÝ POLITICKÝ STŘED;957;0.08;14;395459.24;0.24;0;2010
1;Úsvit pro Budějovice;26952;2.58;45;1043755.0;2.58;0;2014
2;Komunistická str.Čech a Moravy;107661;10.31;45;1043755.0;10.31;6;2014
3;Česká str.sociálně demokrat.;159209;15.25;45;1043755.0;15.25;9;2014
4;Toryové;25803;2.47;45;1043755.0;2.47;0;2014
5;Vize Národních Socialistů;329;0.03;7;162361.88;0.2;0;2014
6;DOMA v Budějcích;31528;3.02;45;1043755.0;3.02;0;2014
7;Strana svobodných občanů;35009;3.35;44;1020560.44;3.43;0;2014
8;Pol.hn.JIHOČEŠI 2012 a SPORT;37484;3.59;45;1043755.0;3.59;0;2014
9;Křesť.demokr.unie-Čs.str.lid.;57731;5.53;45;1043755.0;5.53;3;2014
10;TOP 09;68936;6.6;45;1043755.0;6.6;4;2014
11;SPOLEČNĚ PRO ČESKÉ BUDĚJOVICE;41376;3.96;45;1043755.0;3.96;0;2014
12;Dělnic.str.sociální spravedl.;521;0.05;3;69583.66;0.74;0;2014
13;OBČANÉ PRO BUDĚJOVICE;147980;14.18;45;1043755.0;14.17;8;2014
14;ŽENY 2014;22580;2.16;45;1043755.0;2.16;0;2014
15;Č. BUDĚJOVICE JISTOTA DOMOVA;8600;0.82;45;1043755.0;0.82;0;2014
16;ANO 2011;215553;20.65;45;1043755.0;20.65;12;2014
17;Občanská demokratická strana;56503;5.41;45;1043755.0;5.41;3;2014
1;Vize Národních socialistů;505;0.04;10;267812.22;0.18;0;2018
2;REALISTÉ;20374;1.69;45;1205155.0;1.69;0;2018
3;Křesť.demokr.unie-Čs.str.lid.;36122;3.0;45;1205155.0;2.99;0;2018
4;Česká str.sociálně demokrat.;58270;4.84;45;1205155.0;4.83;0;2018
5;OBČANÉ PRO BUDĚJOVICE;198183;16.44;45;1205155.0;16.44;9;2018
6;Česká strana národně sociální;4315;0.36;41;1098030.11;0.39;0;2018
7;Komunistická str.Čech a Moravy;84133;6.98;45;1205155.0;6.98;4;2018
8;Svob.a př.dem.-T.Okamura (SPD);57382;4.76;45;1205155.0;4.76;0;2018
9;PRO Zdraví a Sport;28138;2.33;45;1205155.0;2.33;0;2018
10;Sdružení ODS a nez. kandidátů;171074;14.2;45;1205155.0;14.19;8;2018
11;Spol.pro Bud.-Lidovci a TOP 09;66252;5.5;45;1205155.0;5.49;3;2018
12;ANO 2011;255585;21.21;45;1205155.0;21.2;12;2018
13;STAN a Čisté Budějovice;77947;6.47;45;1205155.0;6.46;3;2018
14;Česká pirátská strana;146875;12.19;45;1205155.0;12.18;6;2018
